scope,final_group,alpha,pooled_nonmissing,pooled_never_enter,pooled_median_depth,model_nonmissing,model_never_enter,model_median_depth,old_nonmissing,old_median_depth
pooled,all,0.05,4133,4867,1.0,5673,3327,1.0,7583,0.8888888888888888
pooled,final_correct,0.05,3150,2351,1.0,3919,1582,1.0,4482,1.0
pooled,final_wrong,0.05,983,2516,0.967741935483871,1754,1745,0.7741935483870968,3101,0.0
Qwen/Qwen2.5-7B-Instruct,all,0.05,1543,1457,0.9259259259259259,1230,1770,0.9259259259259259,2679,0.8518518518518519
Qwen/Qwen2.5-7B-Instruct,final_correct,0.05,1323,687,0.9259259259259259,1230,780,0.9259259259259259,1808,0.8888888888888888
Qwen/Qwen2.5-7B-Instruct,final_wrong,0.05,220,770,1.0,0,990,,871,0.0
meta-llama/Llama-3.1-8B-Instruct,all,0.05,1163,1837,1.0,1653,1347,1.0,2234,0.9354838709677419
meta-llama/Llama-3.1-8B-Instruct,final_correct,0.05,678,1170,1.0,1091,757,1.0,1249,1.0
meta-llama/Llama-3.1-8B-Instruct,final_wrong,0.05,485,667,0.9354838709677419,562,590,0.9032258064516129,985,0.0
mistralai/Mistral-7B-Instruct-v0.3,all,0.05,1427,1573,1.0,2790,210,1.0,2670,1.0
mistralai/Mistral-7B-Instruct-v0.3,final_correct,0.05,1149,494,1.0,1598,45,1.0,1425,1.0
mistralai/Mistral-7B-Instruct-v0.3,final_wrong,0.05,278,1079,1.0,1192,165,0.6129032258064516,1245,0.0
pooled,all,0.1,7076,1924,0.9259259259259259,6574,2426,0.9354838709677419,7583,0.8888888888888888
pooled,final_correct,0.1,4373,1128,1.0,4024,1477,1.0,4482,1.0
pooled,final_wrong,0.1,2703,796,0.9259259259259259,2550,949,0.8064516129032258,3101,0.0
Qwen/Qwen2.5-7B-Instruct,all,0.1,2568,432,0.8888888888888888,1660,1340,0.8888888888888888,2679,0.8518518518518519
Qwen/Qwen2.5-7B-Instruct,final_correct,0.1,1791,219,0.8888888888888888,1230,780,0.8888888888888888,1808,0.8888888888888888
Qwen/Qwen2.5-7B-Instruct,final_wrong,0.1,777,213,0.9259259259259259,430,560,0.9259259259259259,871,0.0
meta-llama/Llama-3.1-8B-Instruct,all,0.1,1931,1069,0.9354838709677419,2124,876,0.9354838709677419,2234,0.9354838709677419
meta-llama/Llama-3.1-8B-Instruct,final_correct,0.1,1184,664,1.0,1196,652,1.0,1249,1.0
meta-llama/Llama-3.1-8B-Instruct,final_wrong,0.1,747,405,0.9032258064516129,928,224,0.8064516129032258,985,0.0
mistralai/Mistral-7B-Instruct-v0.3,all,0.1,2577,423,1.0,2790,210,1.0,2670,1.0
mistralai/Mistral-7B-Instruct-v0.3,final_correct,0.1,1398,245,1.0,1598,45,1.0,1425,1.0
mistralai/Mistral-7B-Instruct-v0.3,final_wrong,0.1,1179,178,0.8064516129032258,1192,165,0.6129032258064516,1245,0.0
